관광상품번호(NameID),관광지명,관광지구분,소재지도로명주소,소재지지번주소,위도,경도,면적(제곱미터),공공편익시설정보,수용인원수,주차가능수,관광지소개,관리기관전화번호,관리기관명,데이터기준일자
1000001,무봉사,기타(문화유적),경상남도 밀양시 영남루1길 16-11 (내일동),경상남도 밀양시 내일동 37,35.49175286,128.7566522,486㎡,주차장 화장실, , ,신라 혜공왕 9년 법조선사로부터 받은 불은을 갚기 위해 가람을 지어주고 이를 무봉사라 하였으며 영남루와 밀양강과의 조화로 마치 그림 같은 풍경을 지니고 있다. 무봉사 내의 통일신라시대 석조여래좌상은 보물 제493호로 지정되었으며 무봉사 태극나비 전설 또한 잘 알려져 있다. |- 홈페이지: https://moobongsa.modoo.at/,055-354-8138,무봉사,2022-10-24
1000002,부은사,기타(문화유적),경상남도 밀양시 삼랑진읍 천태로 451-94,경상남도 밀양시 삼랑진읍 안태리 828,35.41120562,128.8861797,3818㎡,주차장, , ,밀양 부은사는 가야국 2대 거등왕이 부친 수로왕의 은혜를 보답하고 기리기 위해 200년 무렵에 세운 가야 고찰로 임진왜란 때 한차례 소실되었다가 동화사 승려 학송이 옛 부은암을 재건했다 전해진다. 이후 조선시대에 조성된 석조 아미타불좌상은 시도 무형문화재 제476호로 지정되어 있다.,055-353-8032,부은사,2022-10-24
1000003,표충사,기타(문화유적),경상남도 밀양시 단장면 표충로 1338,경상남도 밀양시 단장면 구천리 25,35.53269968,128.959425,20026399㎡,주차장 화장실, , ,표충사는 영남알프스라 불리는 밀양 재약산 내에 위치하며 그중 표충사 사계는 밀양8경에 속할 정도로 그 풍경이 아름답다. 유생들을 교육하고 성현들이 제사하는 표충서원이 사찰영역 안에 있어 불교와 유교가 한자리에 공존하는 특색 있는 사찰이다. 또한 표충사 내에는 템플스테이가 있어 1700년 한국불교의 역사와 문화가 숨쉬는 산사에서의 전통문화체험을 할 수 있다. 일반 템플스테이 프로그램 외에도 참선발심반(심화과정)과 내마음주인되기(휴식형) 그리고 토닥토닥 템플스테이(의료진 전용) 등 다양한 프로그램이 마련되어 있다. *비용은 프로그램별 상이(공식 홈페이지 참조)|- 홈페이지: https://www.pyochungsa.or.kr/,055-352-1150,표충사,2022-10-24
1000004,홍제사(표충비각),기타(문화유적),경상남도 밀양시 무안면 동부동안길 4,경상남도 밀양시 무안면 무안리 901 - 8,35.47153122,128.6510232,299㎡,주차장, , ,밀양 전통사찰 59호 호국도량으로 조선시대 사명대사의 뜻을 기리기 위해 세워진 사찰이다. 사명대사의 호국성지인 밀양 표충사의 후신이며 표충비각을 수호하고 있다. 표충비는 일명 “한비(汗碑)”또는“땀 흘리는 비”라고도 하며 밀양시 무안면 홍제사 경내에 있다. 비 전면에는 “송운대사영당비명병서(松雲大師靈堂碑銘幷序)”라 하여 사명대사(四溟大師1544~1610)의 충의와 행장을 새겼는데 임진왜란이 일어나자 구국충혼으로 의승병을 창의하고 임진·정유재란 기간 동안 수많은 전장에 나아가 왜적들을 물리친 사실과 전란이 끝난 후 강화와 탐적사로 일본에 건너가 탁월한 외교력을 발휘하여 양국 간 평화를 이끌어 낸 공적 등을 새겼다. 표충비는 국가의 중대사가 있을 때를 전후하여 비면에 자연적으로 땀방울이 맺혀서 마치 구슬땀처럼 흐르는데 이것을 두고 사람들은 나라와 겨레를 염려하는 사명대사의 영험이라고 신성시하고 있다.,055-352-0125,홍제사,2022-10-24
1000005,만어사,기타(문화유적),경상남도 밀양시 삼랑진읍 만어로 776,경상남도 밀양시 삼랑진읍 용전리 4,35.45485528,128.8461724,1481㎡,주차장, , ,해발 674m의 만어산 8부능선에 위치하고 있는 만어사는 가락국 수로왕이 창건하였다는 기록이 삼국유사에 전하고 있으며 우리나라 고대 불교의 남방 전래설을 뒷받침해주는 전통사찰로 많은 전설과 갖가지 신비한 현상을 간직하고 있다. 이곳은 오랜 가뭄이 지속되면 기우제를 지내던 곳으로 영험이 있다 하였으며 세종실록지리지에 의하면 세상에 전해오기를 신라왕의 공불처(供佛處) 였다고 한다. 이와 함께 삼국유사에는 동량 보림이 글을 올렸는데 금나라 대정 12년 경자년 곧 고려 명종10년(1180)에 처음 건립하고 삼층석탑(보물 제466호)을 세웠다 하였다.,055-356-2010,만어사,2022-10-24
1000006,석골사,기타(문화유적),경상남도 밀양시 산내면 원서3길 167,경상남도 밀양시 산내면 원서리 454,35.61583523,128.9271988,2473㎡,주차장, , ,산내면 원서리에 있는 석골사는 신라말 비허선사(備虛禪師)가 창건한 사찰로 북쪽에는 운문산 동쪽에는 가지산 서쪽은 억산이라는 이름난 큰 산이 연봉을 이루어 기암절벽과 깊은 계곡의 경관이 매우 아름답다. 이 석골사 바로 아래에는 사철 물이 마르지 않는 석골사 폭포와 싱그러운 계곡이 있어 사시사철 관광객과 등산객들의 발길이 끊이지 않는 곳이다.,055-352-6557,석골사,2022-10-24
1000007,용궁사,기타(문화유적),경상남도 밀양시 용두로 31-8 (가곡동),경상남도 밀양시 가곡동 691,35.48015482,128.7670296,509㎡,주차장, , ,창건에 관한 사항은 정확히 전해지지 않는다. 현재 밀양시의 시가지 인근에 위치한 점/ 요사 등의 몇몇 건물의 양식을 비롯하여 1938년에 조성 봉안된 용왕탱과 같이 조성되었을 것으로 생각되는 조왕탱/ 일제강점기 범종/ 칠성각 상량문을 통해 일제강점기에 운영되던 사찰임을 알 수 있다. 근대기 우리 민족의 수난이 담겨 있는 사찰로 일제강점기에 전성기를 누리던 도심의 포교당과 유사한 형식이다. 혼란한 조선말기에 민간의 신앙적 희구(希求)를 위한 방편으로 용왕과 같은 토착신들을 수용하였다.|- 홈페이지: http://www.yonggungsa.or.kr/,055-354-4464,용궁사,2022-10-24
1000008,대법사,기타(문화유적),경상남도 밀양시 무안면 무안서로 163-158,경상남도 밀양시 무안면 중산리 1128-1,35.4665044,128.6064746,10390㎡,주차장 화장실, , ,대법사는 사명대사가 강화사로 일본에 다녀온 뒤인 1605년(乙巳)고향으로 돌아와 선영이 바라보이는 이곳에 조그마한 초가를 지어‘백하난야’이라 하고 선대의 명복을 빌면서 여생을 보내고자 했던 성지이다.그해 10월 묘향산으로 길을 떠났던 사명대사가 1610년 합천 해인사 홍재암에서 입적하자 밀양유림에서는 대사의 충(忠)이 지극히 커서 불법으로 그 공훈을 보답하기에는 부족하다 하여 “백하난야” 옆에 사당을 창건하고 표충사라 하였다. 1839년 표충사당이 영정사(표충사)로 옮겨가자 그 자리에 옛 사찰의 명맥을 이어 다시 건립된 것이 현재의 대법사이다. 대법사 경내에는 사명대사가 묘향산으로 들어갈 때 짚고 있던 지팡이를 꽂아둔 것으로 알려진 아름드리 모과나무가 있다.,055-356-0322,대법사,2022-10-24
1000009,트윈터널,기타(공원),경상남도 밀양시 삼랑진읍 삼랑진로 537-11,경상남도 밀양시 삼랑진읍 미전리 1026-4,35.40831642,128.8045114,6848㎡,주차장 편의점 놀이장 화장실, ,64대,밀양 삼랑진읍 옛 경부선의 폐선터널을 새롭게 재단장한 곳. 1902년 고종의 국가근대화정책에 의해 만들어진 식산흥업 터널(하행선 1세대)과 1940년 개통된 무월산 터널(상행선 2세대)의 두 터널이 2004년 KTX의 개통으로 폐쇄된 후 2017년 현재의 트윈터널로 재탄생하였다. 국내 최초로 캐릭터와 빛을 이용해 만든 빛 테마파크이며 크게 해저터널과 빛의 터널 두 구간으로 나누어진다. | -이용시간 :  평일 10:30~19:00 주말 10:30~20:00 (연중무휴) 입장마감 : 운영마감 1시간전 |  -입장료: 성인 : 8000원 청소년(중고등학생) : 6000원 어린이(25개월~13세) : 5000원 경로/복지/유공자/밀양시민 : 5000원  |  -홈페이지 : https://www.instagram.com/twin_tunnel/,0507-1430-8829,트윈터널,2022-10-24
1000010,가산저수지,기타(테마길), ,경상남도 밀양시 부북면 퇴로리 417,35.54373478,128.7029376,97015㎡,화장실, ,,둘레길을 통해 산책 및 드라이브하기 좋은 관광코스 중 하나로 전망대와 수상 태양광발전시설 등이 있다. 퇴로고가 농촌체험마을과 용호정으로 가는 길이 함께 연결되어 있다.,055-354-3921,한국농어촌공사 밀양지사,2022-10-24
1000011,경상남도민물고기전시관,기타(전시관람),경상남도 밀양시 산외면 산외남로 28-27,경상남도 밀양시 산외면 금천리 842-67 ,35.49709948,128.796661,34692㎡,주차장 , ,21대,물고기의 생태를 체험하면서 자연의 소중함을 체험하는 곳으로 2009년 5월 개관하였다. 경상남도 수산자원연구소 부속으로 밀양시 산외면의 민물고기연구센터 내에 위치하고 있으며 '먹이주기 체험'과 '탁본체험' 등이 있다. 관람시간은 오전 10시부터 오후 4시까지이며 매주 월요일 휴관이다.|- 홈페이지: https://www.gyeongnam.go.kr/susan/index.gyeong,055-254-3451,경상남도 수산자원연구소 민물고기연구센터 ,2022-10-24
