"관광명소명","위치","소개","전화번호","홈페이지","데이터기준일자"
"칠곡호국평화기념관","석적읍 석적로 226","6.25전쟁 당시 대한민국 최후의 보루로 총반격의 계기가 된 낙동강방어선전투를 재조명하고자 건립하였다. 추모와 체험,교육,여가기능을 갖춘 보고,느끼고,즐길수 있는 호국평화체험의 공간이다.","054-979-5512","www.chppm.chilgok.go.kr","2016-06-10"
"칠곡왜관철교(호국의 다리)","왜관읍 석적로 39","6.25전쟁때 북한 인민군의 남하를 막기 위해 폭파되었으나 1993년 복구하면서 국토수호의 낙동강 전투를 기리기 위하여 호국의 다리라고 부르게 되었다. 2008년 칠곡왜관철교로 드옥문화재 제406호가 되었다.",,"www.chilgok.go.kr","2016-06-10"
"구상문학관","왜관읍 구상길 191","프랑스 문인협회가 선정한 세계 200대 문인으로 우리나라 현대문학사에 커다란 업적을 남긴 구상시인을 기념하기 위해 건립되었다.1층에는 사진과 편지, 서화 등이 2층에는 시인이 기증한 2만여권의 도서가 보관되어 있다.","054-979-6447","www.kusang.chilgok.go.kr","2016-06-10"
"매원마을","왜관읍 매원리 ","조선시대 영남 3대 양반촌중의 하나이며 마을 모양이 매화같다 하여 매원마을이라 불린다. 세시퐁속체험잔치를 1년 12마당으로 운영중이며 한옥숙박체험도 가능하다.","054-979-6093","www.chilgok.go.kr","2016-06-10"
"가실성당","왜관읍 가실길 1","영화 신부수업(2004/권상우,하지원 주연)을 촬영한 아름다운 성당이다.1920년대 중반에 건립된 수준 높은 벽돌조 건물의 아름다운 성당(신로마네스크 건축양식)으로 경상북도유형문화재 제348호로 지정된 문화유적이다. ","054-976-1102","www.gasil.kr","2016-06-10"
"칠곡보","석적읍 강변대로 1555","지역의 발전과 낙동강의 지속적인 발전을 표현하고자 땅의 풍요를 수호하는 칠우의 전설을 모티브로 디자인하였으며 인근의 칠곡호국평화기념관, 칠곡보오토캠핑장, 낙동강 자전거길 등 강변문화를 즐길 수 있다.","054-979-3111","www.chilgok.go.kr","2016-06-10"
"성베네딕도회 왜관수도원","왜관읍 관문로 61","왜관읍에 위치한 성베데딕도회 왜관수도원은 독일 성 베네딕도회 오딜리아 수도원으로부터 파견된 수도자들이당국의 탄압과 더불어 6.25전쟁 당시 북한 정권의 박해로 피난을 오면서 1952년에 설립되었다. 꽃피는 봄에는 경관이 좋아 힐링 장소로 손색이 없다.","054-970-2000","www.osb.or.kr","2016-06-10"
"칠곡보 오토캠핑장","약목면 관호리 19","낙동강변에 조성된 칠곡보 오토캠핑장은 약 3만㎡부지 위로 불어오는 낙동강 바람과 넓은 잔디밭 및 아늑한 쉼터공간을 갖추고 있고 주변에 호국평화와 관련된 관광명소들이 있어 캠핑객들에게 색다른 흥미와 볼거리를 제공한다.","054-974-7997","www.chilgok.go.kr","2016-06-10"
"신동입석","지천면 심천로 5-7","경상북도 기념물 제29호로 국내 최대의 입석(선돌)이다. 입석의 동편 주위 개간 당시 무문토기, 석기 등이 발견되어 청동기시대에 세워진 것으로 추정된다.",,"www.chilgok.go.kr","2016-06-10"
"신나무골 성지","지천면 연화리 산57","신나무골은 박해시대 때는 신자들이 피난와서 살았던 신자촌이며 병인박해 후에는 대구와 경상도 지방을 맡아서 선교 활동을 하던 김보록 신부를 비롯한 역대 파리 외방 전교회 신부들이 포교활동을 했던 영호남 선교 요람지이다.","054-973-8149","www.chilgok.go.kr","2016-06-10"
