울남 9경,도로명주소,지번주소,위도,경도,소개글,관리기관,연락처
선암호수공원 4계,울산광역시 남구 선암호수길 104,울산광역시 남구 선암동 490-2,35.51690092,129.3224871,"호수를 둘러싼 4㎞ 산책로에 계절마다 펼쳐지는 꽃의 향연이 장관이다. 봄에는 벚꽃과 수선화, 매화, 프리지어가 여름에는 맥문동, 수국, 목단이 가을에는 꽃무릇, 억새가 활짝 펴 사계절 아름다움을 느낄 수 있다. 축구장, 인공암벽, 세상에서 가장 작은 종교시설, 무지개놀이터 등이 있어 가족과 함께 즐기는 명소.",울산광역시 남구청,052-226-5401~3
궁거랑 벚꽃길,울산광역시 남구 삼호로 15(삼호동주민센터 일원),울산광역시 남구 무거동 1443-1 (삼호동주민센터 일원),35.55000281,129.2660112,도심 속 생태하천 궁거랑은 무거천이 활처럼 생겼다고 해서 활(弓)에 하천의 방언인 거랑이 붙어 만들어진 이름이다. 매년 봄 벚꽃이 만개하면 전국에서 관광객들이 ‘인생 샷’을 찍으러 찾는 곳으로 유명하다. 벚꽃 개화시기에 맞춰 궁거랑 벚꽃축제가 열린다. 태화강 국가정원과 연결되어 많은 사랑을 받고 있다.,울산광역시 남구청,052-226-5401~3
장생포고래문화마을 오색수국정원,,울산광역시 남구 매암동 194,35.50613377,129.3818051,"옛 고래잡이 어촌 모습을 재현한 장생포고래문화마을의 수생식물원과 산책로에 수국 1만여 그루를 심어 매년 6월이면 오색 수국꽃이 만발한다. 고래박물관, 고래생태체험관, 고래바다여행선, 장생포모노레일, 장생포옛길 등 고래문화특구의 명소와 어우러져 각광받고 있다.",울산광역시 남구청,052-226-5401~3
남산12봉 가을풍경,,,,,"문수산에서 동쪽으로 뻗어내린 지맥으로 무거동, 삼호동, 옥동을 거쳐 신정동까지 뻗어 나온 12개 봉우리를 통칭하는 지명. 태화강둔치를 따라 은빛 물고기가 뛰어오르는 모습과 함게 바라보는 남산 12봉의 가을 풍경은 잊히지 않는 절경으로 손색이 없다. 남산12봉의 마지막 봉우리 은월봉은 고려 충혜왕 때부터 널리 알려졌으며, 풍류를 즐기는 사람들이 밤이 깊어가는 것도 잊고 즐길 정도로 풍광이 좋은 곳이다.",울산광역시 남구청,052-226-5401~3
울산체육공원 가을단풍,,울산광역시 남구 무거동 산 43-2,35.53680499,129.2598431,"울산체육공원은 2002년 월드컵 경기를 위해 자연적인 산마루와 조화를 이루면서 조성됐다. 문수축구장, 수영장 등 체육시설과 마로니에광장, 호반산책로, 장미원, 야외공연장, 호반광장 등이 있다. 가을이면 조망산책로와 마로니에광장, 은행나무산책로 등이 단풍으로 물들어 도심단풍 명소로 전국에 알려져 있다.",울산광역시 남구청,052-226-5401~3
태화강둔치 억새물결,,울산광역시 남구 무거동 1,35.5507756,129.2810441,울산 한복판을 가로질러 동해의 울산만으로 이어지는 1급수 생태하천 태화강은 800여종의 동식물이 공존하는 생물다양성의 보고다. 가을 태화강둔치 억새밭은 도심에서도 편안하게 황금빛 억새물결을 볼 수 있는 곳이다. 봄에는 유채꽃의 노란 동심과 향기에도 취할 수 있다,울산광역시 남구청,052-226-5401~3
삼호철새공원 떼가마귀 군무,,울산광역시 남구 무거동 47,35.55196262,129.278415,"삼호대숲은 12만5000㎥ 넓이의 조류서식지로 조성된 친자연형 대나무 숲이다. 5월~ 10월에는 백로류, 10월~이듬해 4월에는 떼까마귀가 찾아오는 생태서식지. 10월 말부터 철새홍보관에서 떼까마귀 군무를 감상할 수 있다. 삼호철새공원 은행나무정원은 가을이면 노란 은행잎이 소복이 쌓여 산책하기 좋은 곳이다.",울산광역시 남구청,052-226-5401~3
울산공단 야경(장생포문화창고),울산광역시 남구 장생포고래로 110,울산광역시 남구 장생포동 338-2,35.50348368,129.3672862,1962년2월3일 울산공업센터 기공식 치사문(사천년 빈곤의 역사를 씻고 민족숙원의 부귀를 마련한…)에 나타난 의지를 실현한 공업입국의 출발점 울산공단. 신선산과 고래문화마을에서 바라보는 울산공단 야경은 365일 불빛이 꺼지지 않는 역동적인 울산의 표상이다. 울산공업센터기공식 기념관은 장생포문화창고 2층에 자리 잡고 있다.,울산광역시 남구청,052-226-5401~3
울산공단 야경(선암동),,울산광역시 남구 선암동 산7-11,35.52115697,129.3264169,1962년2월3일 울산공업센터 기공식 치사문(사천년 빈곤의 역사를 씻고 민족숙원의 부귀를 마련한…)에 나타난 의지를 실현한 공업입국의 출발점 울산공단. 신선산과 고래문화마을에서 바라보는 울산공단 야경은 365일 불빛이 꺼지지 않는 역동적인 울산의 표상이다. 울산공업센터기공식 기념관은 장생포문화창고 2층에 자리 잡고 있다.,울산광역시 남구청,052-226-5401~3
장생포문화창고 저녁노을,울산광역시 남구 장생포고래로 110,울산광역시 남구 장생포동 338-2,35.50348368,129.3672862,"2021년 6월 개관한 장생포문화창고는 어류 냉동창고를 폐산업시설 문화재생 사업을 통해 만든 복합문화공간이다. 울산공업센터기공식 기념관, 푸드코트, 소극장, 갤러리, 북카페 지관서가 등이 입주해 있다. 6층 북카페 지관은 우리나라 대표적인 해넘이 항구 장생포의 저녁 노을을 가장 가까이서 볼 수 있는 명소다.",울산광역시 남구청,052-226-5401~3
