지역,분류1,카테고리,여행태그,이름,주소,좌표(x),좌표(y),전화번호,홈페이지Url,서브타이틀,기타,대표관광지등록,상세내용,이미지1,이미지2,이미지3,이미지4,이미지5
천안,tourist,명산,"천안,설경,광덕사,광덕산,등산,명산,차령산맥",광덕산,"충남 천안시 동남구 광덕면 광덕사길 30 
",36.6939717,127.0342684,1577-6611,http://www.cheonan.go.kr/EgovPageLink.do?link=/tour/sub/sub02/sub_07,차령산맥을 이은 설경,휠체어진입 불가능,N,"광덕산은 아산시 송악면과 천안시 광덕면을 경계로 하고 있는 산으로 깨끗하고 맑은 계곡과 부드럽고 유연한 산세를 자랑하고 있으며 차령산맥이 만들어 낸 명산으로 해발 699m로 전국에 잘 알려진 100대 명산 중의 하나이다. 예로부터 산이 크고 넉넉하여 덕이 있는 산이라 하였으며 또한, 나라에 전란이 일어나거나 불길한 일이 있으면 산이 운다는 전설이 전해져 오고 있다. 

광덕산의 등산코스는 송악면 강당골에서 시작하는 코스와 마곡리(마실)에서 시작되는 코스가 있는데, 임도가 개설되어 있어 산중턱까지 올라갈 수 있으며 등산로도 잘 정비되어 있으며, 산악자전거를 탈 수 있는 코스도 있어 산악자전거를 즐기는 사람들이 이용하는 주요 코스이기도 하다. 산이 그리 높지않고 험하지 않아 가족단위, 연인, 친구끼리의 등산로로 각광받고 있는 곳이다. 또한, 광덕산은 물이 맑고 울창한 숲과 노목들이 둘러싸여 있어 많은 산행객들이 찾아와서 심산유곡의 정취를 만끽할 수 있으며, 정상에 오르면 차령산맥의 크고작은 봉우리들이 파노라마처럼 겹겹이 펼쳐지고 발 아래로 광덕사가, 서북쪽으로는 송악저수지가 아스라이 보인다.",01-01-1.jpg,,,,
서산,tourist,명산,"등산,감자,서산,팔봉산,팔봉,송림,서산9경,봉우리,감자축제",팔봉산,충남 서산시 팔봉면 양길리,36.81045,126.370827,팔봉면사무소 041-660-3447,http://www.seosantour.net/cnt/tourView.do?mc=03020100&sys=KO&cntnt_sn=94,하늘과 바다사이 여덟 봉우리,휠체어진입 불가능,N,"팔봉산(361.5m)은 산의 형세가 병풍처럼 펼쳐져있고 9개 마을을 품에 안은 듯 정기있게 솟아 있으며, 산의 명칭은 여덟 개의 산봉우리가 줄지어 있는데서 유래되었다고 한다. 8봉중 가장 높은 곳은 3봉으로 높이가 362m이다. 산세가 수려하며 맑은 공기와 탁 트인 산세가 절경이며 휴식 및 3시간 정도의 등산코스로 적합하다. 워낙 홍천 팔봉산이 유명해서 이 팔봉산은 앞에 ""서산""임을 분명히 밝히는 경우가 대부분이다. 또한, 이곳은 봉이 9개인데 제일 작은 봉을 제외하고 팔봉산이라 하였고, 매년 12월 말이면 그 작은 봉우리가 자기를 넣지 않았다고 울었다는 전설이 있다.",01-02-1.jpg,01-02-2.jpg,01-02-3.jpg,01-02-4.jpg,
서산,tourist,명산,"가야산,서산,명산,마애삼존불상,서산마애삼존불상,원효봉,가야봉,옥양봉,일락산,철쭉,진달래,보원사지,국보,보물",가야산(서산),충남 서산시 운산면 용현리,36.7080102,126.6103935,서산시청 문화관광과 041-660-3179,http://www.seosantour.net/cnt/tourView.do?mc=03020100&sys=KO&cntnt_sn=89,"철쭉,진달래…야생화의 향연",휠체어진입 불가능,N,"주봉인 가야봉(677.6m)을 중심으로 원효봉(677m), 옥양봉(621.4m), 일락산(521.4m), 수정봉(453m), 상왕산(307.2m)등의 봉우리가 연결되는 다양하면서도 어렵지 않은 등산로가 개설되어 노약자 및 여성, 어린이도 쉽게 산에 오를수 있다. 또한 정상에서는 서해바다가 아련하게 보이고 봄철에는 철쭉과 진달래 등 각종 야생화가 흐드러지게 피어나는 등 사시사철 경치가 수려해 관광객의 탄성을 자아내게 한다. 
백제시대 마애석불의 최고 걸작으로 손꼽히는 국보제84호 서산마애삼존불상을 비롯한 보원사지, 개심사, 일락사 등이 가야산 자락의 품에 자리 잡고 있다. 또 한 국보1점, 보물6점, 기타문화재 4점등을 비롯한 각종 문화재가 산재해 있어 내포문화권의 핵심지역이며 그 자체가 거대한 문화재라 불리워도 손색이 없다. 유서 깊은 문화유적과 오염되지 않은 자연경관을 찾아 매년 5십만명 이상의 관광객이 찾아오고 있다. ",01-03-1.jpg,01-03-2.jpg,01-03-3.jpg,01-03-4.jpg,
서산,tourist,명산,"서산,가야산,코끼리바위,몽돌해변,황금산,삼길포,해변,경치,바위",황금산,충남 서산시 대산읍 독곳리,36.990122,126.330715,삼길포관광안내소 041-662-0819 ,http://www.seosantour.net/cnt/tourView.do?mc=03020100&sys=KO&cntnt_sn=914,코끼리바위와 몽돌해변,휠체어진입 불가능,N,"몽돌해변과 코끼리바위가 유명한 황금산은 서산9경(서산구경) 중 제7경으로, 해송과 야생화가 어우러진 숲길과 몽돌로 이루어진 해안이 절경을 이룬다.  
해발 156m의 낮은 산이지만, 산을 넘으면 코끼리바위가 있는 아름다운 해안절벽을 감상할 수 있다.

원래 이름은 ‘항금산(亢金山)’이었으나 산이 있는 전체구역을 총칭하여 ‘항금’이라 했다고 한다. 옛날 평범한 금을 뜻했던 ‘황금’에 비해 ‘항금’은 고귀한 금으로 여겼다. 이 때문에 마을 선비들은 ‘항금산’으로 표기했다고 전한다.

바다 한 가운데 우뚝 솟아 있어 마치 섬과 같은 모양새를 하고 있었으나 화학공장이 들어서면서 지금은 육지와 완전히 연결되어 있다.
서쪽은 바위절벽으로 서해와 접해있고 금을 캤던 2개의 동굴이 남아있으며, 산 정상에는 예로부터 풍년과 안전을 기원했던 당집을 복원하여 매년 봄 제향을 지내고 있다.",01-04-1.jpg,01-04-2.jpg,01-04-3.jpg,01-04-4.jpg,
서산,tourist,명산,"서산,도비산,봉수대,등산,중국,서해바다,철새,간월호,페러글라이딩,글라이딩",도비산,충남 서산시 부석면 취평리,36.70288,126.416076,부석면사무소 041-662-4001,http://www.seosantour.net/cnt/tourView.do?mc=03020100&sys=KO&cntnt_sn=87,천수만에 펼펴진 저녁노을,휠체어진입 불가능,N,"부석면에 위치하고 있으며 높이가 352m로 부석사와 동사를 품고 있습니다
정상에서 바라보면 서해바다의 드넓은 간척지가 한 눈에 들어오고 겨울이면 간월호와 부남호의 철새를 볼 수 있습니다.
옛날 봉수대 터가 남아있고 또 산허리엔 바다를 한 눈에 바라 볼 수 있는 부석사와 동사가 있어 신자들과 관광객 등산객들이 잇따르고 있다. 
또한 도비산은 A?B지구 간척지의 드넓은 벌판에 우뚝 솟아있어 서해바다에서 불어오는 바람과 왕성한 상승기류로 인하여 페터글라이딩을 하기에 매우 적합한 곳이다. 옛 서산군지- 호산록을 보면 날씨가 쾌청할 때 이 도비산에서 서해를 바라보면 해로가 분명하게 보여 중국의 청제의 지경을 볼 수 있다고 기록돼 있다. ",01-05-1.jpg,01-05-2.jpg,01-05-3.jpg,01-05-4.jpg,
논산,tourist,명산,"대둔산,논산,금산,완주,낙조대,마천대,등산,벌곡면,수락계곡,온천욕",대둔산,충남 논산시 벌곡면 수락계곡길 산 14-1 ,36.1440246,127.3050642,041-746-6156,http://tour.nonsan.go.kr/tour.do?mno=sub01_01_03,"기암괴석, 한폭의 산수화",휠체어진입 불가능,Y,"대둔산은 논산시를 비롯해 금산군과 전라북도 완주군이 경계를 이루면서 넓게 분포되어 있다.
논산의 동북쪽에 위치해 있고 계곡과 단풍으로 유명하다. 그중 군지계곡과 수락폭포는 소금강의 진수를 보여준다.

산은 날씨와 상관 없이 계절과 관계없이 그때 그 자리마다 아름답다는 것을 등산을 좋아하는 사람은 안다.
작은 금강산이라 불리는 대둔산은 더욱 그렇다. 대둔산 은 대개 기암괴석이 빼어나고 개발이 잘된 전북 운주 쪽을 떠올리게 되는데 대둔산은 충남의 논산과 금산, 전북의 완주 등 3개 시군에 속해 있다.",01-06-1.jpg,01-06-2.jpg,01-06-3.jpg,01-06-4.jpg,
공주,tourist,명산,"계룡산,공주,명산,등반,등산,동학사,벚꽃,설경,천황봉,관음봉,갑사,단풍,천년고찰",계룡산,충남 공주시 반포면 학봉리,36.35202,127.202176,계룡산국립공원사무소 042-825-3002,http://tour.gongju.go.kr/tour/sub01_01_02.do,"금강줄기따라, 민족의 영산",휠체어진입 불가능,N,"1968년 12월 31일에 국립공원으로 지정된 계룡산은 대전광역시, 공주시, 논산시에 걸쳐있는 충남 제일의 명산이다. 차령산맥과 노령산맥 사이에 이룩된 산지로 능선이 닭의 볏을 머리에 쓴 용의 모습과 닮았다고 하여 계룡이라는 이름이 붙여지게 되었으며, 풍수지리에서도 명산이며, 무속신앙과 관계깊은 신비스러운 산이다. 주봉인 천황봉 (845.1M)을 비롯하여 삼불봉, 연천봉, 관음봉 등 열댓개의 봉우리, 기암괴석과 서쪽에 용문폭포, 동쪽에 은선폭포, 남쪽에 암용추, 숫용추폭포를 어우르고 있는 명산명소이다. 

봄에는 동학사 진입로변의 벚꽃터널, 여름에는 동학사 계곡의 신록, 가을에는 갑사와 용문폭포 주위의 단풍, 겨울에는 삼불봉과 자연성능의 설경이 장관을 이룬다. 계룡산에는 유서 깊은 절과 전설이 담긴 유적들이 도처에 많다. 동쪽의 동학사, 서북쪽의 갑사, 서남쪽에 신원사, 동남쪽에 용화사가 있고 갑사삼신괘불탱 등 국보 2점, 쇠로 된 당간과 당간지주 등 보물 7점과 신원사 오층석탑 등 지방문화재 9점이 있다. ",01-07-1.jpg,01-07-2.jpg,01-07-3.jpg,01-07-4.jpg,
계룡,tourist,명산,"계룡시청,계룡,천마산,완건,설경,계백장군,백제,황산벌,천마정",천마산,충남 계룡시 금암동,36.265556,127.243056,042-840-2402,http://tour.gyeryong.go.kr/html/tour/att/att_0107.html,천마정에서 바라보는 계룡,휠체어진입 불가능,N,"동쪽으로는 계룡시 금암동 신시가지가 한 눈에 내려다 보이고 서남쪽으로는 백제계백장군의 충혼이 어린 황산벌이 멀리 바라다 보인다. 
또한 서편 기슭으로는 왕건이 하늘의 도움으로 후백제를 멸망시키고 세웠다는 개태사가 자리하고 있다. 천마산 정상에는 천마정이라는 정자가 있어 조망이 좋다.",01-08-1.jpg,01-08-2.jpg,01-08-3.jpg,,
계룡,tourist,명산,"국사봉,향적산,계룡,상월면,현각스님,템플스테이,외국스님,천황봉,설경",향적산,충남 계룡시 엄사면 향한리,36.292888,127.201844,042-820-2114,http://tour.gyeryong.go.kr/html/tour/att/att_0106.html,"좌 연천봉, 우 천황봉",휠체어진입 불가능,N,"계룡산 동쪽 봉우리로 해발 574m이며 계룡시 엄사면과 논산시 상월면 경계를 이루고 있는 곳이다.

계룡산을 향해 왼쪽으로 연천봉 능선, 오른쪽으로는 천황봉 능선이 장관을 이루는 계룡산을 잘 조망할 수 있는 곳이기도 하며, 정상에는 천지 창운비가 있고, 중턱에는 후천 개벽원리인 정역(正易)을 저술한 일부 김항 (一夫 金恒) 선생이 공부를 하였다는 거북바위가 있는데 그 옆에 국사봉 도장 초당을 짓고 제자들에게 정역을 강론하였다고 한다.

또한 맨제골 입구 맨제소류지 위에 외국인 스님들의 참선 도량으로 유명한 계룡산 국제선원 무상사가 있는데 주지스님 또한 외국인 스님이다.

이곳에서 미 하버드대 출신 경북 영주 현정사 주지인 현각 스님이 수행하였고, 외국인 스님 20여명이 수행 중에 있으며, 템플스테이를 운영하고있어 전국에서 불교문화 체험을 위해 많은 사람들이 찾고 있다.",01-09-1.jpg,01-09-2.jpg,01-09-3.jpg,01-09-4.jpg,
당진,tourist,명산,"면천,당진,아미산,명산,등산,아미망루,진달래,경관,다불산",아미망루(아미산),충남 당진시 면천면 아미로 354-29,36.845756,126.664825,태산목장 041-356-3154,http://tour.dangjin.go.kr/html/tour/intro/intro_01_08.html,내포땅을 한눈에 담는다,휠체어진입 불가능,N,"아미산(峨嵋山-349m)은 당진시의 명산이다. 산이 위치하고 있는 곳은 당진시 남부에 위치하고 있는 면천면에 있는 산으로 다불산(310m)과 몽산(298m)으로 양 날개를 펼치듯 능선을 뻗어 연봉을 이루는 산이다. 다불산은 서쪽에, 몽산은 남쪽에 위치하고 세 산은 아미산 정상을 기준으로 각각의 산 정상까지 직선거리로 1.6km와 1.5km의 거리를 두고 가깝게 자리하고 있는 지형적 특성을 살려 세 산 모두를 연결하는 원점회귀형 종주코스가 개발되어 있어서 낮은 산이지만 아기자기한 산행을 즐길 수 있다.
아미산을 기점으로 산행을 시작해서 다불산을 거쳐 몽산까지 세 개의 산을 타고 넘는 아미산 등산 코스는 세 산 모두 높지 않은 산이라서 충분히 휴식을 취하며 종주를 하더라도 한나절이면 충분할 만큼 거리도 알맞다.
세 산 중 숲이 울창해서 매력 넘치는 아미산은 잘 정비된 등산로와 산책로가 잘 조성되어 있어서 당진시민의 건강 휴식처이기도 하다. 이 산의 정상에 마련된 아미망루의 풍광이 당진팔경 중의 하나로 꼽힌 것은 왜일까? 당진은 예로부터 이근지역과 함께 지형적인 여건 상 독특한 지역 향토문화을 유지해오고 있는데 그 지형적 특성이 아름답게 펼쳐진 광경이 있어서다.
내포(內浦)땅의 한 부분을 차지하고 있는 당진시 면천면 일대가 훤히 드러나는 아미망루 풍광은 글자 그대로 비산비야(非山非野)다. 아무망루에 오르면 당진시의 남부를 막힘없이 수놓은 낮은 언덕과 들이 어우러진 아름다운 풍경에 사로잡히지 않는 사람 없다.",01-10-1.jpg,01-10-2.jpg,01-10-3.jpg,01-10-4.jpg,
