대분류,중분류,소분류,시도,시군구,자원명,영문명,홈페이지,연락처,팩스,관리기관,상세주소,도로명주소,자원설명,최근수정일,데이터기준일
관광장소 및 시설,공원,국립공원,강원도,강릉시,오대산국립공원소금강,Sogeumgang of Odaesan National Park,,033-661-4161,,,강원도 강릉시 연곡면 삼산리 51,,"< 개요 >소금강은 옛날부터 맑은 폭포와 수려한 기암괴석, 빼어난 풍광을 자랑하여 이 지역의 대표적인 선경(仙境)으로 자리매김한다(1970.11.18 국가지정 명승지 제1호). 그 빼어난 모습에 작은 금강산 같다고 하여 소금강(小金剛)이란 이름이 붙여졌다.소금강은 지리적으로 오대산의 동쪽 기슭에 자리 잡고 있다. 황병산(1,407m)을 주봉으로 우측은 노인봉(1,338m), 좌측으로는 매봉(1,173m)이 자리한 소금강은 학이 날개를 편듯한 형상이라 하여 청학산(靑鶴山)이라고도 불리운다.소금강에선 매년 10월 중(둘째 주)에 날을 정해 청학제가 열린다. < 규모 >ㅇ 높이 : 황병산(1,407m)을 주봉으로 우측은 노인봉(1,338m), 좌측으로는 매봉(1,173m)ㅇ 산행코스 : 관리사무소→청학산장→구룡폭포→만물상→낙영폭포→노인봉→진고개(1.5km, 5시간50분 소요) ㅇ 입산통제구역 : 봄철 산불조심기간(2.1~5.15) 가을철 산불조심기간(11.1~12.15)중 등산로 일부통제 < 유래 및 연혁 >ㅇ 1970. 01. 10 소금강 명승지 지정(제1호) ㅇ 1975. 02. 01 국립공원 지정(건설부공고 제24호)ㅇ 1976. 03. 05 오대산국립공원관리사무소 개소ㅇ 1976. 05. 01 오대산국립공원관리사무소 소금강지소 개소ㅇ 1987. 07. 01 국립공원관리공단 창립ㅇ 1987. 08. 05 오대산관리사무소 개소",2012-01-25,2023-05-10
관광장소 및 시설,공원,국립공원,강원도,속초시,설악산국립공원(설악동),Seoraksan National Park,http://seorak.knps.or.kr,033-636-7700,033-636-7494,,강원도 속초시 설악산로 833,,"< 개요 >설악산국립공원은 398.237㎢에 이르는 광대한 면적에 수많은 동식물들이 함께 살고 있는 자연생태계의 보고이며, 수려한 경관자원을 가지고 있는 공원이다.최고봉인 대청봉을 중심으로 북북서쪽의 마등령, 미시령으로 이어지는 설악산맥, 서쪽의 귀때기청 대승령으로 이어지는 서북주능, 북북동쪽의 화채봉 칠성봉으로 이어지는 화채능선 등 3개의 주능선으로 크게 지형구분을 할 수 있으며, 이들 능선을 경계로 그 서쪽은 내설악, 동쪽은 외설악, 남쪽은 남설악으로 불리고 있는 우리나라 대표적인 산악경관으로서 호박바위, 기둥바위, 넓적바위 등이 공룡능선, 용아장성, 울산바위를 중심으로 발달해 있어 우리나라 제일의 암석지형의 경관미를 갖춘 국립공원이라고 할 수 있다.하상경관 또한 우리나라에서 가장 대표적인 곳으로서 십이선녀탕, 구곡담, 천불동계곡을 중심으로 많은 폭포와 다양한 크기의 소, 담 등이 암석지대와 조화되어 아름다운 자연경관을 자아내고 있다. 설악산국립공원은 우리나라 중앙부에 위치하고 있으며, 시베리아아구와 중국아구의 동식물이 교차되는 지역으로서 지리적으로 시베리아구의 바로 남쪽에 위치하고 있으며 지형상 북한의 고지대와 연접하는 태백산맥 북쪽에 위치한 높은 지대이기에 시베리아구의 동물들이 남하하여 서식하고 있다.설악산은 천연보호구역, 국립공원, 생물권보전지역으로 지정된 우리나라 식물자원의 보고이며, 온대중부의 대표적인 삼림지대이다.이 지역은 낙엽활엽수와 상록침엽수의 혼효림으로 이루어져 있지만 부분적으로 단순림을 형성한 곳도 있다.식물분포로는 북방계식물(눈잣나무 등)의 남한지대인 동시에 남방계식물 (때죽나무 등)의 북한지대로서 그 중요성이 있다.또한 설악산 일대는 세계적으로 희귀한 자연자원의 분포 서식지로 1982년 유네스코(UNESCO)에 의해 우리나라 최초로 생물권보전지역으로 설정되었으며 2005년 12월 IUCN(세계자연보전연맹)으로부터 카테고리Ⅱ(국립공원)로 지정되었다.ㅇ 내설악 지역 : 백담계곡, 수렴동계곡, 가야동계곡, 용아장성, 백운동계곡, 귀때기골, 십이선녀탕계곡 그리고 장수대 지역의 대승폭포, 옥녀탕 ㅇ  외설악 지역 : 천불동계곡을 비롯하여 울산바위, 토왕성폭포, 비선대, 금강골, 귀면암, 오련폭포",2012-01-25,2023-05-10
관광장소 및 시설,공원,국립공원,강원도,양양군,설악산 국립공원 오색지구,Seoraksan National Park,http://seorak.knps.or.kr,033-672-2883,,,강원도 양양군 서면 오색리 481-1 ,,"< 개요 > 한반도의 중추인 태백산맥 중에 가장 높은(대청봉 1,708m) 설악산은 남한에서 가장 아름다운 산으로 봄에는 철쭉 등의 온갖 꽃과 여름의 맑고 깨끗한 계곡물, 설악제 기간을 전후한 가을 단풍, 눈 덮인 설경 등 사시사철 어느 때나 찾는 이의 감탄을 불러 일으킨다. 한계령과 미시령을 경계선으로 동해쪽은 외설악, 서쪽은 내설악이라 부르며, 한계령 이남 오색지구를 남설악으로 구분하기도 한다. 공원지역을 최고봉인 대청봉(1,708M)을 중심으로 인제군 쪽을 내설악, 동해를 향한 바깥쪽을 외설악, 그리고 양앙군의 오색일대를 남설악이라 구분한다. 남설악 지역은 옛날부터 오색약수와 온천이 유명하고 주전골 일대의 용소폭포, 십이폭포, 여신폭포 등이 대표적인 경관을 이루며 산세가 아름답다. 점봉산(1,424.2m)도 남설악구역에 속한다. 남설악 지역에서는 오색-대청 코스, 한계령-끝청-대청 코스 등이 대표적 등산 코스이다. 오색 코스 길목은 그린야드호텔 위편, 국도변의 국립공원 매표소이고 한계령 코스 길목은 한계령휴게소 옆 설악루 계단이다. ",2012-01-25,2023-05-10
관광장소 및 시설,공원,국립공원,강원도,양양군,설악산국립공원(남설악) ,,,,,설악산관리사무소 오색분소,강원도 양양군 서면 오색리 481-1,강원도 양양군 서면 대청봉길 95,,2014-04-23,2023-05-10
관광장소 및 시설,공원,국립공원,강원도,양양군,설악산국립공원(약수터),,,,,설악산관리사무소 오색분소,강원도 양양군 서면 오색리 481-1,강원도 양양군 서면 대청봉길 95,,2014-04-23,2023-05-10
관광장소 및 시설,공원,국립공원,강원도,양양군,설악산국립공원(용소폭포),,,,,설악산관리사무소 오색분소,강원도 양양군 서면 오색리 481-1,강원도 양양군 서면 대청봉길 95,,2014-04-23,2023-05-10
관광장소 및 시설,공원,국립공원,강원도,양양군,설악산국립공원(흘림골),,,,,설악산관리사무소 오색분소,강원도 양양군 서면 오색리 481-1,강원도 양양군 서면 대청봉길 95,,2014-04-23,2023-05-10
관광장소 및 시설,공원,국립공원,강원도,원주시,치악산 국립공원,Chiaksan Korea National Park,http://chiak.knps.or.kr,033-732-5231,033-731-8406,,강원도 원주시 소초면 학곡리 900,,"< 개요 >우리나라의 등줄기인 태백산맥의 오대산에서 서남향으로 분기되어 매화산(1,084m), 천지봉(1,086.5m)이 위치하며, 연접한 비로봉(1,288m)은 치악산국립공원의 최고봉으로 향로봉(1,042.9m)과 남대봉(1,181.5m)까지 해발1,000m이상의 준봉들로 연결되는 대표적인 경관지를 형성하고 있다. 이렇게 수려한 경관을 보유한 치악산국립공원은 강원권의 교통요지인 원주시에 인접해 있을 뿐 만 아니라 수도권으로부터 근거리에 위치하여 1일 탐방이 가능해 탐방활동이 연중 이루어지는 특성을 나타내고 있다.치악산의 경관자원으로는 구룡계곡, 부곡계곡, 금대계곡 등 아름다운 계곡과 구룡소, 세렴폭포 등의 명소가 곳곳에 산재해 있으며, 사계절에 따라 봄에는 진달래와 철쭉, 여름철에는 구룡사의 울창한 송림과 깨끗한 물이 볼만하고, 가을의 단풍과 겨울의 설경은 특히 장관이다. 생물자원으로는 포유류 26종, 조류 98종, 곤충류 1,298종, 양서파충류 약 15종 야생식물 738종이 서식하고 있다.또한, 치악산 곳곳에는 강원도유형문화재인 보광루를 보유한 구룡사와 꿩의 보은설화를 간직한 상원사, 전쟁유적지인 영원산성과 벌목금지의 상징인 황장금표 및 우리나라의 대표적 온대림으로 보존되고 있는 천연기념물 93호인 성남리 성황림 등의 문화자원이 있다. 아름다운 금대계곡에 자리 잡고 있는 영원사를 포함 보문사, 국형사, 관음사 등이 수려한 치악산 자락에 자리 잡고 있다.",2012-01-25,2023-05-10
관광장소 및 시설,공원,국립공원,강원도,원주시,치악산국립공원(곧은재),,http://chiak.knps.or.kr/,033-732-5231,,국립공원관리공단 치악산사무소,강원도 원주시 소초면 학곡리 900,강원도 원주시 소초면 무쇠점2길 26,"< 개요 >우리나라의 등줄기인 태백산맥의 오대산에서 서남향으로 분기되어 매화산(1,084m), 천지봉(1,086.5m)이 위치하며, 연접한 비로봉(1,288m)은 치악산국립공원의 최고봉으로 향로봉(1,042.9m)과 남대봉(1,181.5m)까지 해발1,000m이상의 준봉들로 연결되는 대표적인 경관지를 형성하고 있다. 이렇게 수려한 경관을 보유한 치악산국립공원은 강원권의 교통요지인 원주시에 인접해 있을 뿐 만 아니라 수도권으로부터 근거리에 위치하여 1일 탐방이 가능해 탐방활동이 연중 이루어지는 특성을 나타내고 있다.치악산의 경관자원으로는 구룡계곡, 부곡계곡, 금대계곡 등 아름다운 계곡과 구룡소, 세렴폭포 등의 명소가 곳곳에 산재해 있으며, 사계절에 따라 봄에는 진달래와 철쭉, 여름철에는 구룡사의 울창한 송림과 깨끗한 물이 볼만하고, 가을의 단풍과 겨울의 설경은 특히 장관이다. 생물자원으로는 포유류 26종, 조류 98종, 곤충류 1,298종, 양서파충류 약 15종 야생식물 738종이 서식하고 있다.또한, 치악산 곳곳에는 강원도유형문화재인 보광루를 보유한 구룡사와 꿩의 보은설화를 간직한 상원사, 전쟁유적지인 영원산성과 벌목금지의 상징인 황장금표 및 우리나라의 대표적 온대림으로 보존되고 있는 천연기념물 93호인 성남리 성황림 등의 문화자원이 있다. 아름다운 금대계곡에 자리 잡고 있는 영원사를 포함 보문사, 국형사, 관음사 등이 수려한 치악산 자락에 자리 잡고 있다.",2014-06-18,2023-05-10
관광장소 및 시설,공원,국립공원,강원도,원주시,치악산국립공원(구룡),,http://chiak.knps.or.kr/,033-732-5231,,국립공원관리공단 치악산사무소,강원도 원주시 소초면 학곡리 900,강원도 원주시 소초면 무쇠점2길 26,"< 개요 >우리나라의 등줄기인 태백산맥의 오대산에서 서남향으로 분기되어 매화산(1,084m), 천지봉(1,086.5m)이 위치하며, 연접한 비로봉(1,288m)은 치악산국립공원의 최고봉으로 향로봉(1,042.9m)과 남대봉(1,181.5m)까지 해발1,000m이상의 준봉들로 연결되는 대표적인 경관지를 형성하고 있다. 이렇게 수려한 경관을 보유한 치악산국립공원은 강원권의 교통요지인 원주시에 인접해 있을 뿐 만 아니라 수도권으로부터 근거리에 위치하여 1일 탐방이 가능해 탐방활동이 연중 이루어지는 특성을 나타내고 있다.치악산의 경관자원으로는 구룡계곡, 부곡계곡, 금대계곡 등 아름다운 계곡과 구룡소, 세렴폭포 등의 명소가 곳곳에 산재해 있으며, 사계절에 따라 봄에는 진달래와 철쭉, 여름철에는 구룡사의 울창한 송림과 깨끗한 물이 볼만하고, 가을의 단풍과 겨울의 설경은 특히 장관이다. 생물자원으로는 포유류 26종, 조류 98종, 곤충류 1,298종, 양서파충류 약 15종 야생식물 738종이 서식하고 있다.또한, 치악산 곳곳에는 강원도유형문화재인 보광루를 보유한 구룡사와 꿩의 보은설화를 간직한 상원사, 전쟁유적지인 영원산성과 벌목금지의 상징인 황장금표 및 우리나라의 대표적 온대림으로 보존되고 있는 천연기념물 93호인 성남리 성황림 등의 문화자원이 있다. 아름다운 금대계곡에 자리 잡고 있는 영원사를 포함 보문사, 국형사, 관음사 등이 수려한 치악산 자락에 자리 잡고 있다.",2014-06-18,2023-05-10
